topic,text
Shawl Chiffon/Eyelash," Panas lah if double layer shawl.  Yeah, I prefer single layer only."
Shawl Chiffon/Eyelash, Shawl singkat ni for sporty look?  Exactly! Or quick errands.
Shawl Chiffon/Eyelash," Ironless ni boleh basuh machine?  Better handwash for longevity, sis."
Shawl Chiffon/Eyelash," This chiffon shawl senang dry.  Yes, very quick to air dry."
Shawl Chiffon/Eyelash," Eyelash shawl ni takde defect kan?  So far, so good, quality."
Shawl Chiffon/Eyelash," Ngam tak pakai chiffon for formal?  Ngam, if it's opaque and elegant."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni cantik gila.  Ya, sis. Kain dia flowy."
Shawl Chiffon/Eyelash," Shawl chiffon ni ngam tak untuk outdoor?  Ngam, sis. Tak panas sangat."
Shawl Chiffon/Eyelash," Kain eyelash ni jarang tak?  Tak jarang sangat, ngam je."
Shawl Chiffon/Eyelash," Shawl ni labuh ke singkat?  Labuh sikit, boleh cover dada."
Shawl Chiffon/Eyelash," Warna ni cantik kan?  Cantik weh, ngam dengan skin tone you."
Shawl Chiffon/Eyelash," Rasa panas tak pakai chiffon ni?  Tak sangat, sis. Kain dia sejuk."
Shawl Chiffon/Eyelash," Shawl eyelash ni ironless ke?  Ya, ironless. Senang gila!"
Shawl Chiffon/Eyelash," Ngam tak kalau pakai shawl singkat?  Boleh la, kalau nak nampak casual."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni jatuh cantik!  Betul, sis. Kain dia best."
Shawl Chiffon/Eyelash," Mana beli shawl eyelash ni? Cantik gila!  Online je, sis. Murah."
Shawl Chiffon/Eyelash," Kain chiffon ni senang bentuk tak?  Senang, ngam je."
Shawl Chiffon/Eyelash," Shawl labuh ni panas tak eh?  Tak, kain dia sejuk je."
Shawl Chiffon/Eyelash," Sis, shawl eyelash ni jarang tak?  Taklah, ngam-ngam je."
Shawl Chiffon/Eyelash," Weh, shawl ni ironless kan?  Ya, tak payah gosok. Jimat masa."
Shawl Chiffon/Eyelash," Shawl chiffon ni ngam tak untuk kenduri?  Ngam sangat, nampak elegant."
Shawl Chiffon/Eyelash," Kain eyelash ni best kan?  Ya, tak licin sangat, senang pakai."
Shawl Chiffon/Eyelash," Ada shawl singkat yang cantik tak?  Banyak, sis. Cari yang kain flowy."
Shawl Chiffon/Eyelash," Panas tak pakai shawl labuh ni?  Tak, kain dia breathable."
Shawl Chiffon/Eyelash, Warna ni cantik gila weh.  Ngam sangat dengan baju you!
Shawl Chiffon/Eyelash," Shawl eyelash ni jarang sikit tak?  Sikit je, kena pakai inner."
Shawl Chiffon/Eyelash," Shawl chiffon ni best ke?  Best, sis. Ringan dan selesa."
Shawl Chiffon/Eyelash," Weh, shawl labuh ni ngam tak dengan dress?  Ngam sangat, nampak sopan."
Shawl Chiffon/Eyelash," Kain eyelash ni ironless ke?  Ya, tak kedut sangat."
Shawl Chiffon/Eyelash," Shawl singkat ni senang bentuk tak?  Senang, sis. Tak lembik."
Shawl Chiffon/Eyelash," Cantik kan shawl chiffon ni?  Cantik gila weh, I nak beli."
Shawl Chiffon/Eyelash," Panas tak shawl ni, sis?  Tak, kain dia sejuk je."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni ngam sangat.  Ya, kain dia jatuh cantik."
Shawl Chiffon/Eyelash," Shawl labuh ni jarang tak?  Tak, opague."
Shawl Chiffon/Eyelash," Kain chiffon ni ironless ke?  Almost ironless, sis. Minimal effort."
Shawl Chiffon/Eyelash," Shawl singkat ni ngam untuk office?  Boleh je, kalau tak strict."
Shawl Chiffon/Eyelash," Warna ni cantik kan?  Cantik, ngam dengan tudung lain."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni beli mana?  Shopee, sis. Kain best."
Shawl Chiffon/Eyelash," Shawl chiffon ni panas tak?  Tak, ringan je."
Shawl Chiffon/Eyelash," Labuh sangat tak shawl ni?  Ngam-ngam, boleh cover bahu."
Shawl Chiffon/Eyelash," Kain eyelash ni senang kedut tak?  Tak sangat, ironless."
Shawl Chiffon/Eyelash," Shawl singkat ni jarang tak?  Ada yang jarang, kena check."
Shawl Chiffon/Eyelash," Cantik kan corak shawl ni?  Cantik weh, ngam untuk raya."
Shawl Chiffon/Eyelash," Panas tak pakai shawl chiffon?  Tak, kain dia sejuk."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni ngam gila.  Ya, tak lari-lari."
Shawl Chiffon/Eyelash," Shawl labuh ni ironless ke?  Tak semua, kena tengok kain."
Shawl Chiffon/Eyelash," Kain chiffon ni senang bentuk tak?  Senang sangat, sis. On point."
Shawl Chiffon/Eyelash," Shawl singkat ni nampak muda tak?  Ya, nampak fresh."
Shawl Chiffon/Eyelash," Cantik tak warna ni, sis?  Cantik, ngam dengan baju putih."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni mahal tak?  Tak sangat, harga ngam."
Shawl Chiffon/Eyelash," Shawl chiffon ni jarang tak?  Ada yang sikit, kena double layer."
Shawl Chiffon/Eyelash," Panas tak pakai shawl labuh?  Tak, material dia comfy."
Shawl Chiffon/Eyelash," Kain eyelash ni ngam untuk travel?  Ngam sangat, ironless!"
Shawl Chiffon/Eyelash," Shawl singkat ni nak pakai bila?  Casual day out, ngam."
Shawl Chiffon/Eyelash," Cantik gila shawl ni.  Ya, sis. Warna dia hidup."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni lembut gila.  Betul, kain dia flowy."
Shawl Chiffon/Eyelash," Shawl eyelash ni tak licin ke?  Tak, ngam je. Tak melorot."
Shawl Chiffon/Eyelash," Labuh sangat tak shawl ni?  Ngam, boleh buat gaya lilit."
Shawl Chiffon/Eyelash," Kain chiffon ni ironless tak?  Hampir, senang jaga."
Shawl Chiffon/Eyelash," Shawl singkat ni ngam untuk student?  Ngam, simple dan cepat."
Shawl Chiffon/Eyelash," Cantik tak matching ni, sis?  Cantik, ngam dengan clutch you."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni sejuk tak?  Sejuk, tak rasa panas."
Shawl Chiffon/Eyelash, Shawl chiffon ni jarang tak?  Yang murah kadang jarang sikit.
Shawl Chiffon/Eyelash," Panas tak pakai shawl labuh ni?  Tak, kain dia breathable."
Shawl Chiffon/Eyelash," Kain eyelash ni ngam untuk daily?  Ya, sangat praktikal."
Shawl Chiffon/Eyelash," Shawl singkat ni nak beli warna apa?  Pink ni cantik, sis."
Shawl Chiffon/Eyelash," Cantik gila shawl ni, sis.  Ya, kain dia memang best."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni tak kedut sangat.  Betul, almost ironless."
Shawl Chiffon/Eyelash," Shawl eyelash ni ngam tak untuk nikah?  Ngam, pilih warna putih."
Shawl Chiffon/Eyelash," Labuh dia cukup tak?  Cukup, ngam cover depan belakang."
Shawl Chiffon/Eyelash," Kain chiffon ni panas tak?  Tak panas, ringan je."
Shawl Chiffon/Eyelash, Shawl singkat ni jarang tak?  Kena pilih kain tebal sikit.
Shawl Chiffon/Eyelash," Cantik kan shawl ni?  Cantik, weh. Warna ni ngam."
Shawl Chiffon/Eyelash," Panas tak shawl eyelash ni?  Tak, kain dia sejuk je."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni ngam dengan baju kurung.  Betul, nampak ayu."
Shawl Chiffon/Eyelash," Shawl labuh ni ironless ke?  Tak semua, tapi senang gosok."
Shawl Chiffon/Eyelash," Kain eyelash ni senang bentuk tak?  Senang, tak kejung."
Shawl Chiffon/Eyelash," Shawl singkat ni ngam untuk petite size?  Ngam, tak nampak tenggelam."
Shawl Chiffon/Eyelash," Cantik gila warna ni, sis.  Ya, ngam dengan semua skin tone."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni berbaloi beli.  Betul, tahan lasak."
Shawl Chiffon/Eyelash," Shawl eyelash ni jarang tak?  Tak, dah upgrade quality."
Shawl Chiffon/Eyelash," Panas tak pakai shawl ni?  Tak, kain dia sejuk."
Shawl Chiffon/Eyelash," Kain chiffon ni ngam untuk casual look?  Ngam sangat, simple je."
Shawl Chiffon/Eyelash," Shawl singkat ni labuh tak?  Tak, ngam-ngam bahu."
Shawl Chiffon/Eyelash," Cantik tak shawl ni?  Cantik weh, I suka texture eyelash tu."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni tak licin.  Ya, senang pin."
Shawl Chiffon/Eyelash, Shawl chiffon ni ironless ke?  Ada certain brand ironless.
Shawl Chiffon/Eyelash," Labuh sangat tak?  Ngam, boleh buat pelbagai gaya."
Shawl Chiffon/Eyelash," Kain eyelash ni jarang tak?  Tak, opague."
Shawl Chiffon/Eyelash," Shawl singkat ni panas tak?  Tak, kain dia ringan."
Shawl Chiffon/Eyelash," Cantik kan warna pastel ni?  Cantik, sis. Ngam untuk raya."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni lembut gila.  Ya, selesa pakai lama."
Shawl Chiffon/Eyelash," Shawl eyelash ni ngam untuk outdoor?  Ngam, tak panas sangat."
Shawl Chiffon/Eyelash," Panas tak pakai shawl labuh?  Tak, kain dia sejuk."
Shawl Chiffon/Eyelash," Kain chiffon ni senang bentuk tak?  Sangat senang, on point je."
Shawl Chiffon/Eyelash, Shawl singkat ni jarang tak?  Kebanyakannya tak jarang.
Shawl Chiffon/Eyelash," Cantik gila shawl ni, weh.  Ya, eyelash texture tu lawa."
Shawl Chiffon/Eyelash," Weh, shawl eyelash ni tak melorot.  Betul, senang maintain."
Shawl Chiffon/Eyelash," Shawl chiffon ni ironless ke?  Ada, sis. Kena cari brand betul."
Shawl Chiffon/Eyelash," Labuh dia ngam ke?  Ngam, boleh cover dada fully."
Shawl Chiffon/Eyelash," Kain eyelash ni panas tak?  Tak, kain dia comfy."
Shawl Chiffon/Eyelash," Shawl singkat ni ngam untuk young girls?  Ngam, nampak ceria."
Shawl Chiffon/Eyelash," Cantik tak matching ni?  Cantik, sis. Ngam dengan skirt."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni sejuk je.  Ya, sesuai cuaca Malaysia."
Shawl Chiffon/Eyelash," Shawl eyelash ni jarang tak?  Depends on colour, tapi selalunya tak."
Shawl Chiffon/Eyelash," Panas tak pakai shawl ni?  Tak, ringan je."
Shawl Chiffon/Eyelash," Sis, your eyelash shawl so cantik!  Thanks, baru beli semalam."
Shawl Chiffon/Eyelash," Weh, this chiffon shawl best ke?  Ya, kain dia sejuk gila."
Shawl Chiffon/Eyelash," Kain ni jarang sangat tak?  Tak sangat, tapi boleh pakai inner."
Shawl Chiffon/Eyelash," Colour ni ngam for my baju raya.  Betul, cantik sangat."
Shawl Chiffon/Eyelash," Chiffon shawl ni ironless ke?  Ha'ah, senang kerja."
Shawl Chiffon/Eyelash," Labuh tak shawl ni bila pakai?  Cukup labuh, tak singkat."
Shawl Chiffon/Eyelash," Panas tak pakai chiffon material?  Tak lah, ringan je."
Shawl Chiffon/Eyelash," This eyelash material comfy ah?  Super comfy, tak jarang."
Shawl Chiffon/Eyelash," Weh, mana you beli shawl cantik ni?  Online, harga pun ngam."
Shawl Chiffon/Eyelash," The kain so soft and flowy.  I know, best kan?"
Shawl Chiffon/Eyelash," This shawl senang bentuk tak?  Ya, senang je ngam muka."
Shawl Chiffon/Eyelash," Sis, your shawl colour so on point.  Matching baju, hehe."
Shawl Chiffon/Eyelash," Eyelash shawl ni ironless ke?  Depends on brand, some are."
Shawl Chiffon/Eyelash," Tak panas ke pakai chiffon?  Tak lah, dia nipis je."
Shawl Chiffon/Eyelash, Labuh dia ngam sangat lah.  Kan? Suka I style dia.
Shawl Chiffon/Eyelash, Baju ni sesuai colour apa shawl?  Maybe grey eyelash? Cantik tu.
Shawl Chiffon/Eyelash," Weh, this one is not too singkat kan?  No, okay je untuk I."
Shawl Chiffon/Eyelash," Kain dia berat tak bila pakai?  Tak, ringan je."
Shawl Chiffon/Eyelash," Sis, this design cantik gila.  Ya, ada detailing sikit."
Shawl Chiffon/Eyelash," I prefer chiffon for daily use.  Ya, it's more flowy and sejuk."
Shawl Chiffon/Eyelash," This eyelash shawl mahal tak?  Tak sangat, I bought sale."
Shawl Chiffon/Eyelash," Colour ni habis stock lah.  Alamak, I nak beli tu juga."
Shawl Chiffon/Eyelash," Weh, chiffon ni tak licin sangat ke?  Sikit, but still okay."
Shawl Chiffon/Eyelash," Cantik nya your new shawl!  Thanks, ni eyelash type."
Shawl Chiffon/Eyelash," Kain dia sejuk tak?  Ya, sejuk gila, selesa sangat."
Shawl Chiffon/Eyelash," Shawl ni labuh, tapi tak berat.  Good for hot weather, tak panas."
Shawl Chiffon/Eyelash," Your shawl ni senang jaga tak?  Senang, campak mesin je."
Shawl Chiffon/Eyelash," This chiffon, jarang sangat ke?  Sikit, need inner."
Shawl Chiffon/Eyelash," Eyelash shawl ni boleh pin je?  Ya, no need banyak pin."
Shawl Chiffon/Eyelash," Colour ni ngam dengan jeans.  Yes, very versatile, sis."
Shawl Chiffon/Eyelash," Panas tak pakai eyelash shawl?  Tak, dia breathable."
Shawl Chiffon/Eyelash," Sis, mana you dapat kain sejuk ni?  Online shop, kain chiffon."
Shawl Chiffon/Eyelash," Eyelash ni ironless tak?  Most are, senang betul."
Shawl Chiffon/Eyelash," Ni singkat sangat tak untuk kerja?  Maybe sikit, cari labuh lagi."
Shawl Chiffon/Eyelash," Weh, this new chiffon shawl cantik.  Thanks, I like the drape."
Shawl Chiffon/Eyelash," Kain dia tak melekat badan kan?  Tak, dia flowy je."
Shawl Chiffon/Eyelash," Colour ni ngam dengan skin tone I.  Ya, nampak cerah."
Shawl Chiffon/Eyelash," Chiffon shawl ni senang kedut tak?  Sikit, tapi ironless version okay."
Shawl Chiffon/Eyelash," Labuh dia tak terlalu labuh?  Ngam-ngam, tak seret lantai."
Shawl Chiffon/Eyelash," This eyelash shawl cantik, mahal ke?  Tak, beli time promo."
Shawl Chiffon/Eyelash," Weh, chiffon ni jarang tak?  Not really, pakai inner okay."
Shawl Chiffon/Eyelash," Sis, your shawl ni tak panas ke?  Tak, kain dia sejuk je."
Shawl Chiffon/Eyelash, I nak cari shawl ironless.  Eyelash chiffon usually ironless.
Shawl Chiffon/Eyelash," Panjang dia ngam sangat untuk I.  Ya, tak singkat, tak labuh sangat."
Shawl Chiffon/Eyelash," Cantik betul colour ni!  Ya, I suka colour earth tone."
Shawl Chiffon/Eyelash," Kain eyelash ni grip dia okay tak?  Okay, tak melorot sangat."
Shawl Chiffon/Eyelash," Chiffon ni senang bentuk muka.  Betul, itu yang I suka."
Shawl Chiffon/Eyelash," Shawl ni labuh sampai mana?  Sampai pinggang, ngam."
Shawl Chiffon/Eyelash," Weh, this colour cantik, but terang.  Ya, kena berani sikit."
Shawl Chiffon/Eyelash," Sis, this shawl ironless ke?  Yes, trust me."
Shawl Chiffon/Eyelash," Kain dia tak terlalu nipis kan?  Tak, just nice."
Shawl Chiffon/Eyelash," Eyelash shawl ni tak jarang sangat?  Tak, standard lah."
Shawl Chiffon/Eyelash," Ni ngam untuk outdoor activity?  Ya, sebab kain sejuk."
Shawl Chiffon/Eyelash," Panas tak bila double layer chiffon?  Sikit, but still bearable."
Shawl Chiffon/Eyelash," Your shawl ni cantik, nampak mahal.  Haha, beli murah je."
Shawl Chiffon/Eyelash, Singkat tak kalau pakai style ni?  Kena adjust sikit.
Shawl Chiffon/Eyelash," Chiffon ni senang nak shape?  Senang gila, sekali iron ngam."
Shawl Chiffon/Eyelash," Weh, mana nak cari shawl labuh?  Banyak je online, sis."
Shawl Chiffon/Eyelash," Kain dia tak kasar kan?  Tak, very soft and gentle."
Shawl Chiffon/Eyelash," This eyelash chiffon colour ngam.  Ya, I'm thinking of buying."
Shawl Chiffon/Eyelash," Sis, your shawl so cantik, new ke?  Thanks! Yes, just got it."
Shawl Chiffon/Eyelash," Weh, this chiffon shawl is rarely seen.  It's a special edition."
Shawl Chiffon/Eyelash," Kain dia panas tak bila cuaca terik?  Tak, dia sejuk je."
Shawl Chiffon/Eyelash," Labuh dia ngam untuk my height.  Good, tak perlu alter."
Shawl Chiffon/Eyelash," Eyelash shawl ni ironless, kan?  Betul, memang tak renyah."
Shawl Chiffon/Eyelash," Cantik gila colour purple ni.  Ya, I suka pastel tones."
Shawl Chiffon/Eyelash," This chiffon shawl senang kedut?  Sikit, tapi tak obvious."
Shawl Chiffon/Eyelash, Tak singkat sangat ke for formal event?  Boleh adjust jadi labuh.
Shawl Chiffon/Eyelash," Kain dia tak jarang, good for cover.  Yes, very modest."
Shawl Chiffon/Eyelash," Weh, mana you beli shawl sejuk ni?  Boutique baru buka."
Shawl Chiffon/Eyelash," Sis, this design nampak elegant.  Ya, I think so too."
Shawl Chiffon/Eyelash," Panas tak pakai shawl eyelash ni?  Tak, kain dia nipis."
Shawl Chiffon/Eyelash," Colour ni ngam for daily wear.  Agreed, very versatile."
Shawl Chiffon/Eyelash, Chiffon shawl ni tak licin ke?  Pakai inner cap is best.
Shawl Chiffon/Eyelash," Labuh dia cukup untuk menutup dada.  Yes, itu penting."
Shawl Chiffon/Eyelash," Eyelash shawl ni senang nak shape.  Betul, I love that."
Shawl Chiffon/Eyelash," Cantik betul texture kain ni.  Ya, quality premium."
Shawl Chiffon/Eyelash," Sis, this shawl ironless kan?  Ironless, my favourite."
Shawl Chiffon/Eyelash," Weh, this colour ngam dengan my bag.  Pergi beli cepat!"
Shawl Chiffon/Eyelash," Kain dia tak melekat badan kan?  Tak, dia flowy."
Shawl Chiffon/Eyelash," Chiffon shawl ni ringan je.  Ya, tak rasa macam pakai apa-apa."
Shawl Chiffon/Eyelash, Singkat sangat tak this design?  Depends on how you style it.
Shawl Chiffon/Eyelash," Eyelash shawl ni sejuk ke?  Ya, sangat selesa."
Shawl Chiffon/Eyelash," This shawl colour cantik, weh.  Thank you! I suka juga."
Shawl Chiffon/Eyelash," Labuh dia ngam for solat.  Ya, sangat sesuai."
Shawl Chiffon/Eyelash," Kain ni tak jarang sangat kan?  Tak, cukup tebal."
Shawl Chiffon/Eyelash," Sis, this chiffon shawl ironless?  Yes, tak payah iron."
Shawl Chiffon/Eyelash," Panas tak kalau pakai all day?  Tak, sangat breathable."
Shawl Chiffon/Eyelash," This eyelash shawl senang pin tak?  Senang, tak bergerak."
Shawl Chiffon/Eyelash," Weh, this colour ngam for wedding.  Ya, nampak classy."
Shawl Chiffon/Eyelash, Cantik betul corak shawl ni.  Special edition punya.
Shawl Chiffon/Eyelash," Kain dia lembut gila.  Ya, premium quality."
Shawl Chiffon/Eyelash," Sis, your shawl ni tak singkat?  Tak lah, I like it this length."
Shawl Chiffon/Eyelash," Chiffon ni jarang sikit, right?  Ya, but you can layer."
Shawl Chiffon/Eyelash," This eyelash shawl labuh sangat.  For tall people, ngam."
Shawl Chiffon/Eyelash," Weh, this shawl ironless ke?  Yes, my go-to choice."
Shawl Chiffon/Eyelash," Panas tak kain ni?  Tak, sejuk je."
Shawl Chiffon/Eyelash," Cantik lah you pakai colour ni!  Thanks, I try new colour."
Shawl Chiffon/Eyelash," Kain dia tak licin kan?  Tak, grip dia okay."
Shawl Chiffon/Eyelash," Sis, this chiffon eyelash ngam.  Ya, I nak beli juga."
Shawl Chiffon/Eyelash," Weh, shawl chiffon you cantik betul!  Thank you, kain dia sejuk je."
Shawl Chiffon/Eyelash," Sis, eyelash shawl ni jarang tak?  Taklah, ngam-ngam je."
Shawl Chiffon/Eyelash," Kain shawl ni ironless ke?  Ya, senang gila nak pakai."
Shawl Chiffon/Eyelash," Shawl ni labuh ke singkat?  Yang ni labuh sikit, you suka?"
Shawl Chiffon/Eyelash, Cantik warna shawl you!  Thanks! Sesuai for panas weather.
Shawl Chiffon/Eyelash," Eyelash shawl ni best kan?  Ya, kain dia tak panas langsung."
Shawl Chiffon/Eyelash," Weh, shawl chiffon you beli mana?  Online je, murah pun!"
Shawl Chiffon/Eyelash," Shawl ni ngam sangat for my office.  Ya, nampak kemas kan?"
Shawl Chiffon/Eyelash," Kain eyelash ni rasa sejuk je.  Betul, selesa pakai lama-lama."
Shawl Chiffon/Eyelash," Sis, ada color lain for shawl ni?  Ada, banyak pilihan cantik-cantik."
Shawl Chiffon/Eyelash," Chiffon ni senang gosok tak?  Senang, tapi ironless lagi bagus."
Shawl Chiffon/Eyelash," Eyelash fringe ni tak renyuk ke?  Taklah, still kemas je."
Shawl Chiffon/Eyelash," Weh, shawl ni panas tak kalau outdoor?  Tak, sebab kain dia light je."
Shawl Chiffon/Eyelash," Shawl ni labuh dia ngam sangat!  Ya, I suka yang cover dada."
Shawl Chiffon/Eyelash," Kain ni jarang tak kalau kena matahari?  Sikit je, kena pakai inner."
Shawl Chiffon/Eyelash," Cantik gila eyelash shawl you!  Thanks sis, I baru beli."
Shawl Chiffon/Eyelash," Ironless shawl ni memang penyelamatlah!  Betul, tak payah buang masa."
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni sejuk sangat.  Ya, sesuai for Malaysia weather."
Shawl Chiffon/Eyelash," Shawl ni singkat sangat ke for you?  Tak, I prefer yang singkat sikit."
Shawl Chiffon/Eyelash," Kain dia tak panas langsung, weh.  Tu la pasal, selesa betul."
Shawl Chiffon/Eyelash," Sis, shawl eyelash ni boleh buat gaya apa?  Banyak! Casual or formal, ngam je."
Shawl Chiffon/Eyelash," Shawl chiffon ni rasa lembut je.  Ya, I memang suka material ni."
Shawl Chiffon/Eyelash," Eyelash fringe ni tak gatal ke?  Taklah, lembut je kat kulit."
Shawl Chiffon/Eyelash, Cantik betul warna mint green ni!  Kan? Nampak fresh je.
Shawl Chiffon/Eyelash," Kain shawl ni ngam untuk casual day.  Betul, simple and easy."
Shawl Chiffon/Eyelash," Weh, ironless shawl ni ada banyak color tak?  Ada, you nak color apa?"
Shawl Chiffon/Eyelash, Shawl ni labuh dia sampai mana?  Sampai bawah dada sikit.
Shawl Chiffon/Eyelash," Sis, shawl chiffon ni jarang tak?  Kalau light color, sikitlah."
Shawl Chiffon/Eyelash," Panas betul pakai shawl lain.  Tukar ni la, kain dia sejuk."
Shawl Chiffon/Eyelash," Eyelash shawl ni nampak kemas je.  Ya, senang bentuk and stay."
Shawl Chiffon/Eyelash," Shawl ni singkat sikit kan?  Yup, I suka style macam ni."
Shawl Chiffon/Eyelash," Kain chiffon ni memang selesa gila.  Setuju, tak rasa rimas langsung."
Shawl Chiffon/Eyelash," Weh, cantiklah eyelash shawl you ni.  Thanks, color ni favourite I."
Shawl Chiffon/Eyelash, Shawl ironless ni senang nak travel.  Kan? Tak perlu risau renyuk.
Shawl Chiffon/Eyelash," Sis, shawl labuh ni ada size tak?  Tak, dia free size je."
Shawl Chiffon/Eyelash," Kain ni tak jarang, ngam untuk outdoor.  Betul, tak payah risau aurat."
Shawl Chiffon/Eyelash," Shawl chiffon ni ada banyak corak ke?  Ada, tapi I prefer plain."
Shawl Chiffon/Eyelash," Weh, shawl ni sejuk je bila angin tiup.  Ya, memang sesuai for cuaca panas."
Shawl Chiffon/Eyelash," Eyelash fringe ni tak rosak ke lepas basuh?  Tak, cuci tangan je sis."
Shawl Chiffon/Eyelash, Cantik warna nude shawl ni!  Ngam for everyday look.
Shawl Chiffon/Eyelash, Ironless shawl ni jimat masa pagi.  Paling bestlah tu!
Shawl Chiffon/Eyelash," Sis, shawl ni labuh dia ngam tak for you?  Ngam, I suka yang labuh."
Shawl Chiffon/Eyelash," Kain dia tak jarang langsung, best!  Ya, confidence level up!"
Shawl Chiffon/Eyelash," Weh, shawl chiffon ni lembut sangat.  Rasa macam tak pakai apa."
Shawl Chiffon/Eyelash," Eyelash shawl ni memang cantik kan?  Ya, I suka detailing dia."
Shawl Chiffon/Eyelash, Shawl ni singkat sikit je.  Sesuai for young girls.
Shawl Chiffon/Eyelash," Panas tak kalau pakai shawl ni lama-lama?  Tak, kain dia breathable."
Shawl Chiffon/Eyelash," Sis, shawl ni ada zip ke?  Taklah, shawl biasa je."
Shawl Chiffon/Eyelash, Cantik warna emerald green ni!  Kan? Nampak exclusive.
Shawl Chiffon/Eyelash," Ironless shawl ni memang berbaloi beli.  Memang, save electricity too."
Shawl Chiffon/Eyelash," Weh, shawl labuh ni cover belakang tak?  Ya, sampai punggung sikit."
Shawl Chiffon/Eyelash," Kain chiffon ni senang bentuk tak?  Senang, tak perlu starch pun."
Shawl Chiffon/Eyelash, Eyelash shawl ni ngam for Raya nanti.  Confirm jadi tumpuan!
Shawl Chiffon/Eyelash," Shawl ni jarang sikit je, okaylah.  Boleh la pakai inner."
Shawl Chiffon/Eyelash," Sis, shawl ni panas ke sejuk?  Sejuk, sangat comfy."
Shawl Chiffon/Eyelash," Cantik warna dusty pink ni.  Ya, nampak sweet je."
Shawl Chiffon/Eyelash," Ironless shawl ni harga mahal tak?  Taklah, berpatutan je."
Shawl Chiffon/Eyelash," Weh, shawl ni singkat sangat.  Ya, I tak suka yang pendek sangat."
Shawl Chiffon/Eyelash," Kain eyelash ni tak licin ke?  Tak, dia grip elok."
Shawl Chiffon/Eyelash," Shawl chiffon ni ada banyak texture ke?  Ada, ada yang berpasir sikit."
Shawl Chiffon/Eyelash," Sis, shawl ni ngam for event formal?  Ya, nampak elegant."
Shawl Chiffon/Eyelash," Panas betul cuaca hari ni.  Pakai shawl ni la, sejuk sikit."
Shawl Chiffon/Eyelash," Eyelash fringe ni tak serabut ke?  Tak, dia kemas je."
Shawl Chiffon/Eyelash," Cantik betul shawl you ni, weh!  Thanks, beli kat Shopee."
Shawl Chiffon/Eyelash," Kain dia jarang tak?  Tak, tapi kalau risau boleh double."
Shawl Chiffon/Eyelash," Ironless shawl ni jimat tenaga.  Betul, tak payah berdiri lama."
Shawl Chiffon/Eyelash," Sis, shawl labuh ni sesuai for siapa?  Yang suka modest style."
Shawl Chiffon/Eyelash," Shawl chiffon ni ringan gila.  Ya, macam tak pakai apa."
Shawl Chiffon/Eyelash," Eyelash shawl ni cantik kalau buat butterfly style.  Oh, ngam juga tu!"
Shawl Chiffon/Eyelash," Weh, shawl ni singkat ke labuh?  Pendek sikit dari yang biasa."
Shawl Chiffon/Eyelash," Kain dia tak panas langsung, weh!  Tu pasal I suka sangat."
Shawl Chiffon/Eyelash," Sis, ada tips jaga eyelash shawl ni?  Cuci tangan, jangan machine."
Shawl Chiffon/Eyelash, Cantik warna maroon ni!  Ngam untuk raya nanti.
Shawl Chiffon/Eyelash," Ironless shawl ni tak berkedut ke?  Tak, memang anti-kedut."
Shawl Chiffon/Eyelash," Shawl chiffon ni jarang ke?  Taklah, just nice je."
Shawl Chiffon/Eyelash," Weh, shawl ni sejuk bila pakai.  Ya, material dia bagus."
Shawl Chiffon/Eyelash," Eyelash shawl ni nampak mewah gila.  Ya, with the fringes tu."
Shawl Chiffon/Eyelash," Shawl ni labuh dia ngam for my height.  Good, tak payah alter."
Shawl Chiffon/Eyelash," Kain ni tak licin, senang nak adjust.  Ya, tak melorot."
Shawl Chiffon/Eyelash," Sis, shawl ni ada inner sekali ke?  Tak, jual asing-asing."
Shawl Chiffon/Eyelash," Panas gila pakai shawl cotton.  Cuba shawl chiffon ni, sejuk."
Shawl Chiffon/Eyelash," Cantik shawl ni, weh!  I suka eyelash fringe dia."
Shawl Chiffon/Eyelash," Ironless shawl ni sesuai for student.  Betul, cepat siap je."
Shawl Chiffon/Eyelash, Shawl labuh ni ada size besar tak?  Ni free size je sis.
Shawl Chiffon/Eyelash," Kain eyelash ni tebal tak?  Tak, sedang-sedang je."
Shawl Chiffon/Eyelash," Weh, shawl ni singkat sangat for me.  I think okay je lah."
Shawl Chiffon/Eyelash," Shawl chiffon ni cepat kering tak lepas basuh?  Cepat sangat, light je."
Shawl Chiffon/Eyelash," Sis, shawl ni ngam for everyday wear.  Ya, tak rimas langsung."
Shawl Chiffon/Eyelash," Eyelash shawl ni ada tag ke?  Ada, kat hujung shawl tu."
